[sieve] sieving primes up to 950000000 ...
y	m	p_m1	p_m	STATUS	gap_log
3	3	5	7	OK	8.961216e-02
[1/3244] y=3 m=3 p_m=7 (prime_max=949999993)
5	7	19	23	OK	1.864354e-02
7	15	59	61	OK	1.318135e-02
11	27	113	127	OK	3.676266e-03
13	41	197	199	OK	1.409972e-05
17	62	331	337	OK	2.761853e-03
19	85	467	479	OK	1.159831e-03
23	115	673	677	OK	5.158981e-04
29	150	929	937	OK	8.951720e-04
31	186	1187	1193	OK	7.885006e-04
37	229	1499	1511	OK	5.375707e-04
41	274	1867	1871	OK	5.247787e-04
43	323	2251	2267	OK	1.452164e-04
47	380	2699	2707	OK	1.903840e-05
53	443	3229	3251	OK	1.630457e-04
59	509	3767	3769	OK	2.341206e-04
61	577	4339	4349	OK	1.556900e-04
67	653	5003	5009	OK	6.457088e-05
71	733	5701	5711	OK	1.201236e-04
73	818	6449	6451	OK	7.661242e-05
79	912	7309	7321	OK	8.772552e-05
83	1010	8221	8231	OK	9.737986e-05
89	1114	9161	9173	OK	5.168755e-05
97	1222	10141	10151	OK	5.210282e-05
101	1331	11177	11197	OK	4.847871e-06
103	1448	12329	12343	OK	7.393235e-05
107	1572	13477	13487	OK	1.142677e-05
109	1704	14771	14779	OK	2.385269e-05
113	1845	16091	16097	OK	4.785620e-06
127	1994	17597	17599	OK	7.021844e-06
131	2138	19081	19087	OK	1.808756e-05
137	2289	20551	20563	OK	1.966574e-05
139	2445	22093	22109	OK	4.484603e-05
149	2609	23753	23761	OK	1.990770e-05
151	2774	25463	25469	OK	3.509126e-05
157	2948	27253	27259	OK	2.915847e-05
163	3127	29101	29123	OK	2.387792e-05
167	3311	31079	31081	OK	1.871366e-05
173	3502	33023	33029	OK	6.315983e-07
179	3699	35069	35081	OK	2.226355e-05
181	3900	37189	37199	OK	8.457215e-06
191	4112	39451	39461	OK	2.393174e-05
193	4324	41759	41761	OK	1.677189e-05
197	4546	44089	44101	OK	2.190633e-05
199	4775	46639	46643	OK	3.829762e-06
211	5016	49223	49253	OK	1.216509e-05
223	5255	51817	51827	OK	1.082582e-05
227	5493	54443	54449	OK	1.419437e-05
229	5738	57059	57073	OK	8.914200e-06
233	5993	59771	59779	OK	1.382327e-05
239	6255	62851	62861	OK	1.052735e-06
241	6524	65831	65837	OK	4.028458e-06
251	6804	69011	69019	OK	1.393217e-05
257	7084	72091	72101	OK	1.469148e-06
263	7371	75353	75367	OK	8.362985e-06
269	7663	78653	78691	OK	3.613598e-06
271	7961	81973	82003	OK	2.607556e-07
277	8270	85571	85577	OK	4.430974e-06
281	8585	89231	89237	OK	3.540831e-06
283	8909	92821	92831	OK	8.231419e-06
293	9243	96601	96643	OK	4.986472e-06
307	9579	100549	100559	OK	3.405483e-06
311	9913	104479	104491	OK	8.987762e-06
313	10254	108463	108497	OK	9.409658e-07
317	10607	112589	112601	OK	3.850775e-06
331	10969	116903	116911	OK	7.881172e-06
337	11328	121021	121039	OK	7.734902e-06
347	11693	125299	125303	OK	7.661210e-06
349	12059	129553	129581	OK	6.829835e-07
353	12437	134093	134129	OK	5.590711e-06
359	12823	138577	138581	OK	6.646394e-06
367	13215	143291	143329	OK	5.831502e-06
373	13611	148139	148147	OK	1.666811e-06
379	14014	152767	152777	OK	2.663641e-06
383	14423	157679	157721	OK	1.910460e-06
389	14841	162821	162823	OK	1.735327e-06
397	15266	168043	168067	OK	2.918730e-06
401	15696	173249	173263	OK	5.770103e-06
409	16134	178603	178609	OK	3.926022e-06
419	16576	183917	183919	OK	5.412588e-07
421	17021	189253	189257	OK	1.906691e-06
431	17477	194819	194827	OK	3.983632e-06
433	17935	200381	200383	OK	3.975940e-06
439	18404	206237	206249	OK	3.046696e-06
443	18880	211867	211873	OK	4.226619e-06
449	19364	218081	218083	OK	3.178031e-07
457	19856	224047	224057	OK	1.188299e-06
461	20353	230047	230059	OK	3.551799e-06
463	20858	236527	236549	OK	1.417365e-06
467	21376	242927	242971	OK	3.702351e-06
479	21902	249377	249383	OK	6.958184e-07
487	22429	255947	255961	OK	2.671985e-07
491	22962	262783	262807	OK	3.453345e-06
499	23503	269383	269387	OK	1.257860e-06
503	24049	276247	276251	OK	1.503999e-07
509	24605	283193	283207	OK	9.510958e-07
521	25168	290473	290489	OK	3.568359e-07
523	25732	297793	297797	OK	1.598296e-07
541	26308	304949	304961	OK	2.945074e-07
547	26878	312289	312311	OK	4.736188e-07
557	27455	319387	319391	OK	5.612431e-07
563	28035	326617	326633	OK	2.478614e-06
569	28621	334049	334057	OK	1.782266e-06
571	29214	341647	341659	OK	9.737260e-07
577	29819	349373	349379	OK	2.030064e-06
587	30430	357179	357197	OK	1.621853e-07
593	31045	365129	365137	OK	7.772786e-07
599	31667	373301	373327	OK	5.673248e-07
601	32297	381413	381419	OK	1.941466e-06
607	32938	389783	389791	OK	1.640303e-06
613	33586	397973	397981	OK	1.015318e-06
617	34242	406661	406673	OK	1.563537e-06
619	34907	415189	415201	OK	1.712097e-08
631	35585	423991	424001	OK	1.292414e-06
641	36263	432659	432661	OK	1.346758e-07
643	36945	441527	441547	OK	1.595822e-06
647	37638	450503	450529	OK	1.297254e-06
653	38341	459961	460013	OK	1.008485e-06
659	39052	469279	469283	OK	5.868189e-07
661	39771	478483	478493	OK	1.423717e-06
673	40502	488209	488227	OK	1.995554e-06
677	41233	497603	497633	OK	1.077555e-07
683	41975	507383	507401	OK	5.047678e-07
691	42725	517267	517277	OK	9.471884e-07
701	43480	526993	526997	OK	5.644579e-07
709	44239	537067	537071	OK	1.283198e-06
719	45003	547499	547501	OK	5.039206e-07
727	45771	557671	557693	OK	4.701383e-07
733	46545	568069	568091	OK	9.626850e-07
739	47326	578309	578311	OK	1.685744e-07
743	48115	588463	588481	OK	8.007121e-08
751	48914	599309	599321	OK	2.264921e-07
757	49719	609877	609887	OK	8.674579e-07
761	50531	620663	620671	OK	3.035424e-07
769	51354	631991	631993	OK	9.524126e-07
773	52183	643429	643439	OK	1.498609e-06
787	53022	654499	654509	OK	1.494714e-06
797	53860	665617	665629	OK	1.016870e-06
809	54702	677057	677077	OK	1.088375e-06
811	55545	688297	688309	OK	4.839194e-07
821	56401	699953	699961	OK	1.385472e-06
823	57260	711209	711223	OK	1.381375e-06
827	58131	723157	723161	OK	1.329182e-06
829	59012	735001	735019	OK	1.203453e-06
839	59905	747457	747463	OK	5.160537e-07
853	60803	759617	759623	OK	9.969443e-07
857	61700	771473	771481	OK	1.038771e-06
859	62607	783787	783791	OK	1.033101e-06
863	63526	796193	796217	OK	6.969279e-07
877	64455	808991	808993	OK	1.301363e-07
881	65385	821603	821641	OK	1.188793e-06
883	66324	834143	834149	OK	9.920662e-07
887	67275	847339	847361	OK	7.808558e-08
907	68238	860623	860641	OK	8.257276e-07
911	69193	873553	873569	OK	3.132815e-07
919	70159	886643	886651	OK	7.430803e-07
929	71130	900149	900157	OK	4.288440e-08
937	72106	913417	913421	OK	4.669059e-07
941	73088	926777	926797	OK	8.472105e-07
947	74080	940727	940733	OK	1.013401e-06
953	75080	954619	954623	OK	8.447357e-07
967	76088	968557	968567	OK	2.135862e-07
971	77097	982741	982759	OK	8.708937e-07
977	78116	997019	997021	OK	9.135726e-07
983	79143	1010861	1010881	OK	8.515380e-07
991	80178	1025099	1025111	OK	7.661047e-07
997	81219	1039667	1039681	OK	5.651301e-07
1009	82269	1054381	1054393	OK	8.963810e-07
1013	83320	1069207	1069217	OK	4.801302e-08
1019	84383	1083839	1083847	OK	7.633613e-07
1021	85453	1098689	1098707	OK	3.077079e-07
1031	86536	1113373	1113379	OK	3.966902e-07
1033	87623	1128763	1128769	OK	4.397863e-07
1039	88723	1144261	1144271	OK	7.605130e-07
