y	m	p_m1	p_m	STATUS	NOTE	UPm1_num	LOm_num	DEN	gap_lo_num	gap_hi_num	gap_DEN
3	3	5	7	OK		378281250000000000000000000000000000000000	466890914351851851851851851851851851851795	600000000000000000000000000000000000000000	2490361621869368466870731395358687060864009735539396851933202846873233731356600000000000000000000000000000000000000000	3760705833596718565033927287490594084530008061615315247240800569603617318181682600000000000000000000000000000000000000000	-
5	7	19	23	OK		400425504131138332610945994004978915815920	426962059438680836160152539047085985709840	600000000000000000000000000000000000000000	540710503062189966299475887313478753151363251164396851933202846873233731356600000000000000000000000000000000000000000	1546280420482885303939327886992702502938008061615315247240800569603617318181682600000000000000000000000000000000000000000	-
7	15	59	61	OK		413881549186195063041733188450316944107397	423781797554275334145107008654115495196015	600000000000000000000000000000000000000000	385424278237702563221080848594216521031001923039396851933202846873233731356600000000000000000000000000000000000000000	200675914977212260860608442458899673790308061615315247240800569603617318181682600000000000000000000000000000000000000000	-
11	27	113	127	OK		413351093467812755357837291392482326012015	418092300074896160764816019379025314704860	600000000000000000000000000000000000000000	107616784127391363011559887896453801736324188664396851933202846873233731356600000000000000000000000000000000000000000	253721486815443029250198148242361483328508061615315247240800569603617318181682600000000000000000000000000000000000000000	-
13	41	197	199	OK		412874132766507143578724621855347772074737	415896108068610863398654714687838236561580	600000000000000000000000000000000000000000	380846320492077554464932272084751771480438664396851933202846873233731356600000000000000000000000000000000000000000	301417556946004207161465101955816877056308061615315247240800569603617318181682600000000000000000000000000000000000000000	-
17	62	331	337	OK		415762367859479607603650063942324884898490	417545211227795191100053170601071373516805	600000000000000000000000000000000000000000	80903461515039328599311412410421517163326141789396851933202846873233731356600000000000000000000000000000000000000000	12594047648757804668920893258105594681008061615315247240800569603617318181682600000000000000000000000000000000000000000	-
19	85	467	479	OK		415330292031695077225539270740159313262037	416584106558821771341331441095499331683325	600000000000000000000000000000000000000000	33974522600321566942976963896161662012935516789396851933202846873233731356600000000000000000000000000000000000000000	55801630427210842480000213474662758326308061615315247240800569603617318181682600000000000000000000000000000000000000000	-
23	115	673	677	OK		415310930375572048526866852858392492118764	416197807579126227371026358019947151858570	600000000000000000000000000000000000000000	15112267732375084017924079347715381507320282414396851933202846873233731356600000000000000000000000000000000000000000	57737796039513712347242001651344872653608061615315247240800569603617318181682600000000000000000000000000000000000000000	-
29	150	929	937	OK		415784728540726281032577056371532609161321	416425394363727539568556385008625123342165	600000000000000000000000000000000000000000	26224903699236031162944928404256957854732391789396851933202846873233731356600000000000000000000000000000000000000000	10357979524090461776221650337333168397908061615315247240800569603617318181682600000000000000000000000000000000000000000	-
31	186	1187	1193	OK		415858264267144429415582635222681232707217	416361398289757910856806145325928523242980	600000000000000000000000000000000000000000	23100095399937754222015256397587031136714813664396851933202846873233731356600000000000000000000000000000000000000000	3004406882275623475663765222470813808308061615315247240800569603617318181682600000000000000000000000000000000000000000	-
37	229	1499	1511	OK		415813631381238433412240016184593623895218	416210845136811397539983379979137771998550	600000000000000000000000000000000000000000	15748867228721283674028667198819880529781219914396851933202846873233731356600000000000000000000000000000000000000000	7467695472875223809925669031231695008208061615315247240800569603617318181682600000000000000000000000000000000000000000	-
41	274	1867	1871	OK		415882405755087973136439055477153789647149	416203171872253762010069751867845060064975	600000000000000000000000000000000000000000	15374196107742986314964794577105430648189423039396851933202846873233731356600000000000000000000000000000000000000000	590258087921251390021739775215119815108061615315247240800569603617318181682600000000000000000000000000000000000000000	-
43	323	2251	2267	OK		415710712837310954738689272654065136996119	415975435622823612931414661396336781289055	600000000000000000000000000000000000000000	4254262053536488333759205147990256042720673039396851933202846873233731356600000000000000000000000000000000000000000	17759549865623091165000022084080384918108061615315247240800569603617318181682600000000000000000000000000000000000000000	-
47	380	2699	2707	OK		415678042870886670325060773103488885536392	415899729752988256604225870641449614683715	600000000000000000000000000000000000000000	557686377981980170244031569515324141353485539396851933202846873233731356600000000000000000000000000000000000000000	21026546508051532527849977141705530890808061615315247240800569603617318181682600000000000000000000000000000000000000000	-
53	443	3229	3251	OK		415801548811824587142991634500913009861929	415986134734487727544355978194305934007045	600000000000000000000000000000000000000000	4776679615260834668784439423827791100826141789396851933202846873233731356600000000000000000000000000000000000000000	8675952414259850734763837399293098337108061615315247240800569603617318181682600000000000000000000000000000000000000000	-
59	509	3767	3769	OK		415869566141004894715547524591117432115634	416028779933743777398868854528516541543870	600000000000000000000000000000000000000000	6858964735185143971170979180205112234859344914396851933202846873233731356600000000000000000000000000000000000000000	1874219496229093479174828378850872966608061615315247240800569603617318181682600000000000000000000000000000000000000000	-
61	577	4339	4349	OK		415843743748283215637596199761365082813174	415981721795243440070547032672645899959465	600000000000000000000000000000000000000000	4561204066223360361707021374021441121333954289396851933202846873233731356600000000000000000000000000000000000000000	4456458768397001274307311354085803212608061615315247240800569603617318181682600000000000000000000000000000000000000000	-
67	653	5003	5009	OK		415807254519194641424819698570022873833760	415927050453162253417023523333834782023370	600000000000000000000000000000000000000000	1891704941165418295129416939884823147945282414396851933202846873233731356600000000000000000000000000000000000000000	8105381677254422551957430488306701154008061615315247240800569603617318181682600000000000000000000000000000000000000000	-
71	733	5701	5711	OK		415855312914227638189727190729610056445869	415960382206291242277110536592851365333820	600000000000000000000000000000000000000000	3519231949416827479065611227803930103511688664396851933202846873233731356600000000000000000000000000000000000000000	3299542173954746061208214529588439943108061615315247240800569603617318181682600000000000000000000000000000000000000000	-
73	818	6449	6451	OK		415841259743235612745719532370487275744380	415934275543267926380107178920590030341330	600000000000000000000000000000000000000000	2244492543981480945698537386918432423335907414396851933202846873233731356600000000000000000000000000000000000000000	4704859273157290461974050441866510092008061615315247240800569603617318181682600000000000000000000000000000000000000000	-
79	912	7309	7321	OK		415858982031850440936968134781060897103544	415940943463218059627403278211804643137700	600000000000000000000000000000000000000000	2570074572796580911328385590756947871089813664396851933202846873233731356600000000000000000000000000000000000000000	2932630411674471337113809384504374175608061615315247240800569603617318181682600000000000000000000000000000000000000000	-
83	1010	8221	8231	OK		415873836674846677869629895298100275759505	415946736113923253445191098347118646437380	600000000000000000000000000000000000000000	2852918845511122795499290635386015238277313664396851933202846873233731356600000000000000000000000000000000000000000	1447166112050778070937757680566508579508061615315247240800569603617318181682600000000000000000000000000000000000000000	-
89	1114	9161	9173	OK		415853907948760746217505150136763452149283	415919320758404245404799589765838952480930	600000000000000000000000000000000000000000	1514278439309558323257660690088458770992157414396851933202846873233731356600000000000000000000000000000000000000000	3440038720643943283412273814248869601708061615315247240800569603617318181682600000000000000000000000000000000000000000	-
97	1222	10141	10151	OK		415860459637544743673705621483801635687452	415919569939509372344971679577445154323460	600000000000000000000000000000000000000000	1526445485458334698847983522422533113277313664396851933202846873233731356600000000000000000000000000000000000000000	2784869842244197663365139110430515784808061615315247240800569603617318181682600000000000000000000000000000000000000000	-
101	1331	11177	11197	OK		415837628883894729838079144717045968690439	415891216986789640234101776493141848071085	600000000000000000000000000000000000000000	142023965940165222778496984175157509029266789396851933202846873233731356600000000000000000000000000000000000000000	5067945207245581226012815785997215486108061615315247240800569603617318181682600000000000000000000000000000000000000000	-
103	1448	12329	12343	OK		415884055230224562396359007284429902334851	415932667687957679326591271592997371138430	600000000000000000000000000000000000000000	2165983983910824035742124906808119781734344914396851933202846873233731356600000000000000000000000000000000000000000	425310574262325398026559047603851044908061615315247240800569603617318181682600000000000000000000000000000000000000000	-
107	1572	13477	13487	OK		415850675467572208790760966274137252842573	415895164351822394516342849433640485040875	600000000000000000000000000000000000000000	334766399180120410330886656960165799556610539396851933202846873233731356600000000000000000000000000000000000000000	3763286839497685957830660076868800272708061615315247240800569603617318181682600000000000000000000000000000000000000000	-
109	1704	14771	14779	OK		415862020428986048489636986886236721559038	415902619908392969509397240865299118157260	600000000000000000000000000000000000000000	698807247352727493064843280916860935542938664396851933202846873233731356600000000000000000000000000000000000000000	2628790698113716070228598866921928626208061615315247240800569603617318181682600000000000000000000000000000000000000000	-
113	1845	16091	16097	OK		415853904524205937096821712181138203956805	415891179676250223778931282395809289033565	600000000000000000000000000000000000000000	140202162257721122656714887858798255123016789396851933202846873233731356600000000000000000000000000000000000000000	3440381176124855351756069376773688849508061615315247240800569603617318181682600000000000000000000000000000000000000000	-
