Pivot-only table (Appendix A)
mreq_mode=exact  (prec=120, ln1p_terms=18, ln2_terms=40)
y in [3,30000], prime_limit=5000000
+-------+------------------+---------+
| y     | mreq_status      | mreq(y) |
+-------+------------------+---------+
| 3     | OK_EXACT         | 3       |
| 5     | OK_EXACT         | 7       |
| 7     | OK_EXACT         | 15      |
| 11    | OK_EXACT         | 27      |
| 13    | OK_EXACT         | 41      |
| 17    | OK_EXACT         | 62      |
| 19    | OK_EXACT         | 85      |
| 23    | OK_EXACT         | 115     |
| 29    | OK_EXACT         | 150     |
| 31    | OK_EXACT         | 186     |
| 37    | OK_EXACT         | 229     |
| 41    | OK_EXACT         | 274     |
| 43    | OK_EXACT         | 323     |
| 47    | OK_EXACT         | 380     |
| 53    | OK_EXACT         | 443     |
| 59    | OK_EXACT         | 509     |
| 61    | OK_EXACT         | 577     |
| 67    | OK_EXACT         | 653     |
| 71    | OK_EXACT         | 733     |
| 73    | OK_EXACT         | 818     |
| 79    | OK_EXACT         | 912     |
| 83    | OK_EXACT         | 1010    |
| 89    | OK_EXACT         | 1114    |
| 97    | OK_EXACT         | 1222    |
| 101   | OK_EXACT         | 1331    |
| 103   | OK_EXACT         | 1448    |
| 107   | OK_EXACT         | 1572    |
| 109   | OK_EXACT         | 1704    |
| 113   | OK_EXACT         | 1845    |
| 127   | OK_EXACT         | 1994    |
| 131   | OK_EXACT         | 2138    |
| 137   | OK_EXACT         | 2289    |
| 139   | OK_EXACT         | 2445    |
| 149   | OK_EXACT         | 2609    |
| 151   | OK_EXACT         | 2774    |
| 157   | OK_EXACT         | 2948    |
| 163   | OK_EXACT         | 3127    |
| 167   | OK_EXACT         | 3311    |
| 173   | OK_EXACT         | 3502    |
| 179   | OK_EXACT         | 3699    |
| 181   | OK_EXACT         | 3900    |
| 191   | OK_EXACT         | 4112    |
| 193   | OK_EXACT         | 4324    |
| 197   | OK_EXACT         | 4546    |
| 199   | OK_EXACT         | 4775    |
| 211   | OK_EXACT         | 5016    |
| 223   | OK_EXACT         | 5255    |
| 227   | OK_EXACT         | 5493    |
| 229   | OK_EXACT         | 5738    |
| 233   | OK_EXACT         | 5993    |
| 239   | OK_EXACT         | 6255    |
| 241   | OK_EXACT         | 6524    |
| 251   | OK_EXACT         | 6804    |
| 257   | OK_EXACT         | 7084    |
| 263   | OK_EXACT         | 7371    |
| 269   | OK_EXACT         | 7663    |
| 271   | OK_EXACT         | 7961    |
| 277   | OK_EXACT         | 8270    |
| 281   | OK_EXACT         | 8585    |
| 283   | OK_EXACT         | 8909    |
| 293   | OK_EXACT         | 9243    |
| 307   | OK_EXACT         | 9579    |
| 311   | OK_EXACT         | 9913    |
| 313   | OK_EXACT         | 10254   |
| 317   | OK_EXACT         | 10607   |
| 331   | OK_EXACT         | 10969   |
| 337   | OK_EXACT         | 11328   |
| 347   | OK_EXACT         | 11693   |
| 349   | OK_EXACT         | 12059   |
| 353   | OK_EXACT         | 12437   |
| 359   | OK_EXACT         | 12823   |
| 367   | OK_EXACT         | 13215   |
| 373   | OK_EXACT         | 13611   |
| 379   | OK_EXACT         | 14014   |
| 383   | OK_EXACT         | 14423   |
| 389   | OK_EXACT         | 14841   |
| 397   | OK_EXACT         | 15266   |
| 401   | OK_EXACT         | 15696   |
| 409   | OK_EXACT         | 16134   |
| 419   | OK_EXACT         | 16576   |
| 421   | OK_EXACT         | 17021   |
| 431   | OK_EXACT         | 17477   |
| 433   | OK_EXACT         | 17935   |
| 439   | OK_EXACT         | 18404   |
| 443   | OK_EXACT         | 18880   |
| 449   | OK_EXACT         | 19364   |
| 457   | OK_EXACT         | 19856   |
| 461   | OK_EXACT         | 20353   |
| 463   | OK_EXACT         | 20858   |
| 467   | OK_EXACT         | 21376   |
| 479   | OK_EXACT         | 21902   |
| 487   | OK_EXACT         | 22429   |
| 491   | OK_EXACT         | 22962   |
| 499   | OK_EXACT         | 23503   |
| 503   | OK_EXACT         | 24049   |
| 509   | OK_EXACT         | 24605   |
| 521   | OK_EXACT         | 25168   |
| 523   | OK_EXACT         | 25732   |
| 541   | OK_EXACT         | 26308   |
| 547   | OK_EXACT         | 26878   |
| 557   | OK_EXACT         | 27455   |
| 563   | OK_EXACT         | 28035   |
| 569   | OK_EXACT         | 28621   |
| 571   | OK_EXACT         | 29214   |
| 577   | OK_EXACT         | 29819   |
| 587   | OK_EXACT         | 30430   |
| 593   | OK_EXACT         | 31045   |
| 599   | OK_EXACT         | 31667   |
| 601   | OK_EXACT         | 32297   |
| 607   | OK_EXACT         | 32938   |
| 613   | OK_EXACT         | 33586   |
| 617   | OK_EXACT         | 34242   |
| 619   | OK_EXACT         | 34907   |
| 631   | OK_EXACT         | 35585   |
| 641   | OK_EXACT         | 36263   |
| 643   | OK_EXACT         | 36945   |
| 647   | OK_EXACT         | 37638   |
| 653   | OK_EXACT         | 38341   |
| 659   | OK_EXACT         | 39052   |
| 661   | OK_EXACT         | 39771   |
| 673   | OK_EXACT         | 40502   |
| 677   | OK_EXACT         | 41233   |
| 683   | OK_EXACT         | 41975   |
| 691   | OK_EXACT         | 42725   |
| 701   | OK_EXACT         | 43480   |
| 709   | OK_EXACT         | 44239   |
| 719   | OK_EXACT         | 45003   |
| 727   | OK_EXACT         | 45771   |
| 733   | OK_EXACT         | 46545   |
| 739   | OK_EXACT         | 47326   |
| 743   | OK_EXACT         | 48115   |
| 751   | OK_EXACT         | 48914   |
| 757   | OK_EXACT         | 49719   |
| 761   | OK_EXACT         | 50531   |
| 769   | OK_EXACT         | 51354   |
| 773   | OK_EXACT         | 52183   |
| 787   | OK_EXACT         | 53022   |
| 797   | OK_EXACT         | 53860   |
| 809   | OK_EXACT         | 54702   |
| 811   | OK_EXACT         | 55545   |
| 821   | OK_EXACT         | 56401   |
| 823   | OK_EXACT         | 57260   |
| 827   | OK_EXACT         | 58131   |
| 829   | OK_EXACT         | 59012   |
| 839   | OK_EXACT         | 59905   |
| 853   | OK_EXACT         | 60803   |
| 857   | OK_EXACT         | 61700   |
| 859   | OK_EXACT         | 62607   |
| 863   | OK_EXACT         | 63526   |
| 877   | OK_EXACT         | 64455   |
| 881   | OK_EXACT         | 65385   |
| 883   | OK_EXACT         | 66324   |
| 887   | OK_EXACT         | 67275   |
| 907   | OK_EXACT         | 68238   |
| 911   | OK_EXACT         | 69193   |
| 919   | OK_EXACT         | 70159   |
| 929   | OK_EXACT         | 71130   |
| 937   | OK_EXACT         | 72106   |
| 941   | OK_EXACT         | 73088   |
| 947   | OK_EXACT         | 74080   |
| 953   | OK_EXACT         | 75080   |
| 967   | OK_EXACT         | 76088   |
| 971   | OK_EXACT         | 77097   |
| 977   | OK_EXACT         | 78116   |
| 983   | OK_EXACT         | 79143   |
| 991   | OK_EXACT         | 80178   |
| 997   | OK_EXACT         | 81219   |
| 1009  | OK_EXACT         | 82269   |
| 1013  | OK_EXACT         | 83320   |
| 1019  | OK_EXACT         | 84383   |
| 1021  | OK_EXACT         | 85453   |
| 1031  | OK_EXACT         | 86536   |
| 1033  | OK_EXACT         | 87623   |
| 1039  | OK_EXACT         | 88723   |
| 1049  | OK_EXACT         | 89831   |
| 1051  | OK_EXACT         | 90943   |
| 1061  | OK_EXACT         | 92068   |
| 1063  | OK_EXACT         | 93197   |
| 1069  | OK_EXACT         | 94339   |
| 1087  | OK_EXACT         | 95489   |
| 1091  | OK_EXACT         | 96636   |
| 1093  | OK_EXACT         | 97793   |
| 1097  | OK_EXACT         | 98963   |
| 1103  | OK_EXACT         | 100144  |
| 1109  | OK_EXACT         | 101334  |
| 1117  | OK_EXACT         | 102532  |
| 1123  | OK_EXACT         | 103737  |
| 1129  | OK_EXACT         | 104951  |
| 1151  | OK_EXACT         | 106174  |
| 1153  | OK_EXACT         | 107388  |
| 1163  | OK_EXACT         | 108616  |
| 1171  | OK_EXACT         | 109847  |
| 1181  | OK_EXACT         | 111085  |
| 1187  | OK_EXACT         | 112328  |
| 1193  | OK_EXACT         | 113579  |
| 1201  | OK_EXACT         | 114838  |
| 1213  | OK_EXACT         | 116105  |
| 1217  | OK_EXACT         | 117373  |
| 1223  | OK_EXACT         | 118653  |
| 1229  | OK_EXACT         | 119941  |
| 1231  | OK_EXACT         | 121239  |
| 1237  | OK_EXACT         | 122549  |
| 1249  | OK_EXACT         | 123868  |
| 1259  | OK_EXACT         | 125190  |
| 1277  | OK_EXACT         | 126516  |
| 1279  | OK_EXACT         | 127838  |
| 1283  | OK_EXACT         | 129173  |
| 1289  | OK_EXACT         | 130519  |
| 1291  | OK_EXACT         | 131874  |
| 1297  | OK_EXACT         | 133242  |
| 1301  | OK_EXACT         | 134620  |
| 1303  | OK_EXACT         | 136008  |
| 1307  | OK_EXACT         | 137409  |
| 1319  | OK_EXACT         | 138822  |
| 1321  | OK_EXACT         | 140237  |
| 1327  | OK_EXACT         | 141665  |
| 1361  | OK_EXACT         | 143103  |
| 1367  | OK_EXACT         | 144519  |
| 1373  | OK_EXACT         | 145945  |
| 1381  | OK_EXACT         | 147379  |
| 1399  | OK_EXACT         | 148821  |
| 1409  | OK_EXACT         | 150258  |
| 1423  | OK_EXACT         | 151700  |
| 1427  | OK_EXACT         | 153143  |
| 1429  | OK_EXACT         | 154597  |
| 1433  | OK_EXACT         | 156063  |
| 1439  | OK_EXACT         | 157540  |
| 1447  | OK_EXACT         | 159026  |
| 1451  | OK_EXACT         | 160519  |
| 1453  | OK_EXACT         | 162023  |
| 1459  | OK_EXACT         | 163540  |
| 1471  | OK_EXACT         | 165066  |
| 1481  | OK_EXACT         | 166595  |
| 1483  | OK_EXACT         | 168128  |
| 1487  | OK_EXACT         | 169675  |
| 1489  | OK_EXACT         | 171233  |
| 1493  | OK_EXACT         | 172805  |
| 1499  | OK_EXACT         | 174388  |
| 1511  | OK_EXACT         | 175980  |
| 1523  | OK_EXACT         | 177575  |
| 1531  | OK_EXACT         | 179172  |
| 1543  | OK_EXACT         | 180777  |
| 1549  | OK_EXACT         | 182385  |
| 1553  | OK_EXACT         | 184002  |
| 1559  | OK_EXACT         | 185630  |
| 1567  | OK_EXACT         | 187268  |
| 1571  | OK_EXACT         | 188912  |
| 1579  | OK_EXACT         | 190568  |
| 1583  | OK_EXACT         | 192230  |
| 1597  | OK_EXACT         | 193904  |
| 1601  | OK_EXACT         | 195579  |
| 1607  | OK_EXACT         | 197266  |
| 1609  | OK_EXACT         | 198961  |
| 1613  | OK_EXACT         | 200671  |
| 1619  | OK_EXACT         | 202391  |
| 1621  | OK_EXACT         | 204122  |
| 1627  | OK_EXACT         | 205865  |
| 1637  | OK_EXACT         | 207619  |
| 1657  | OK_EXACT         | 209377  |
| 1663  | OK_EXACT         | 211131  |
| 1667  | OK_EXACT         | 212893  |
| 1669  | OK_EXACT         | 214668  |
| 1693  | OK_EXACT         | 216456  |
| 1697  | OK_EXACT         | 218235  |
| 1699  | OK_EXACT         | 220025  |
| 1709  | OK_EXACT         | 221829  |
| 1721  | OK_EXACT         | 223638  |
| 1723  | OK_EXACT         | 225450  |
| 1733  | OK_EXACT         | 227276  |
| 1741  | OK_EXACT         | 229107  |
| 1747  | OK_EXACT         | 230945  |
| 1753  | OK_EXACT         | 232793  |
| 1759  | OK_EXACT         | 234650  |
| 1777  | OK_EXACT         | 236516  |
| 1783  | OK_EXACT         | 238380  |
| 1787  | OK_EXACT         | 240253  |
| 1789  | OK_EXACT         | 242138  |
| 1801  | OK_EXACT         | 244036  |
| 1811  | OK_EXACT         | 245938  |
| 1823  | OK_EXACT         | 247845  |
| 1831  | OK_EXACT         | 249755  |
| 1847  | OK_EXACT         | 251673  |
| 1861  | OK_EXACT         | 253591  |
| 1867  | OK_EXACT         | 255509  |
| 1871  | OK_EXACT         | 257437  |
| 1873  | OK_EXACT         | 259376  |
| 1877  | OK_EXACT         | 261329  |
| 1879  | OK_EXACT         | 263294  |
| 1889  | OK_EXACT         | 265272  |
| 1901  | OK_EXACT         | 267255  |
| 1907  | OK_EXACT         | 269242  |
| 1913  | OK_EXACT         | 271238  |
| 1931  | OK_EXACT         | 273244  |
| 1933  | OK_EXACT         | 275247  |
| 1949  | OK_EXACT         | 277264  |
| 1951  | OK_EXACT         | 279280  |
| 1973  | OK_EXACT         | 281309  |
| 1979  | OK_EXACT         | 283332  |
| 1987  | OK_EXACT         | 285364  |
| 1993  | OK_EXACT         | 287403  |
| 1997  | OK_EXACT         | 289452  |
| 1999  | OK_EXACT         | 291512  |
| 2003  | OK_EXACT         | 293587  |
| 2011  | OK_EXACT         | 295673  |
| 2017  | OK_EXACT         | 297766  |
| 2027  | OK_EXACT         | 299869  |
| 2029  | OK_EXACT         | 301978  |
| 2039  | OK_EXACT         | 304100  |
| 2053  | OK_EXACT         | 306229  |
| 2063  | OK_EXACT         | 308358  |
| 2069  | OK_EXACT         | 310494  |
| 2081  | OK_EXACT         | 312638  |
| 2083  | OK_EXACT         | 314786  |
| 2087  | OK_EXACT         | 316948  |
| 2089  | OK_EXACT         | 319121  |
| 2099  | OK_EXACT         | 321309  |
| 2111  | OK_EXACT         | 323502  |
| 2113  | OK_EXACT         | 325698  |
| 2129  | OK_EXACT         | 327909  |
| 2131  | OK_EXACT         | 330119  |
| 2137  | OK_EXACT         | 332342  |
| 2141  | OK_EXACT         | 334576  |
| 2143  | OK_EXACT         | 336822  |
| 2153  | OK_EXACT         | 339081  |
| 2161  | OK_EXACT         | 341347  |
| 2179  | OK_EXACT         | 343619  |
| 2203  | OK_EXACT         | 345889  |
| 2207  | OK_EXACT         | 348150  |
| 2213  | FAIL_PRIME_LIMIT | -       |
| 2221  | FAIL_PRIME_LIMIT | -       |
| 2237  | FAIL_PRIME_LIMIT | -       |
| 2239  | FAIL_PRIME_LIMIT | -       |
| 2243  | FAIL_PRIME_LIMIT | -       |
| 2251  | FAIL_PRIME_LIMIT | -       |
| 2267  | FAIL_PRIME_LIMIT | -       |
| 2269  | FAIL_PRIME_LIMIT | -       |
| 2273  | FAIL_PRIME_LIMIT | -       |
| 2281  | FAIL_PRIME_LIMIT | -       |
| 2287  | FAIL_PRIME_LIMIT | -       |
| 2293  | FAIL_PRIME_LIMIT | -       |
