PS C:\Users\stran\Documents\Lehmer\code\V3> python appendixB_table_generator.py --verify-casec-table appendixB_fast_output.txt
[exact] sieving primes up to 4132637 ...

[B.2 exact certificate from saved Case C table]
y,mreq_y,first_prime,last_prime,num_digits,den_digits,status
Exact Case C [--------------------------------] 1/302 (  0.3%)3,3,3,7,2,2,PASS
Exact Case C [--------------------------------] 2/302 (  0.7%)5,7,5,23,6,6,PASS
Exact Case C [--------------------------------] 3/302 (  1.0%)7,15,7,61,16,16,PASS
Exact Case C [--------------------------------] 4/302 (  1.3%)11,27,11,127,37,37,PASS
Exact Case C [--------------------------------] 5/302 (  1.7%)13,41,13,199,62,62,PASS
Exact Case C [--------------------------------] 6/302 (  2.0%)17,62,17,337,103,102,PASS
Exact Case C [--------------------------------] 7/302 (  2.3%)19,85,19,479,150,150,PASS
Exact Case C [--------------------------------] 8/302 (  2.6%)23,115,23,677,214,214,PASS
Exact Case C [--------------------------------] 9/302 (  3.0%)29,150,29,937,298,297,PASS
Exact Case C [#-------------------------------] 10/302 (  3.3%)31,186,31,1193,393,392,PASS
Exact Case C [#-------------------------------] 11/302 (  3.6%)37,229,37,1511,506,506,PASS
Exact Case C [#-------------------------------] 12/302 (  4.0%)41,274,41,1871,626,626,PASS
Exact Case C [#-------------------------------] 13/302 (  4.3%)43,323,43,2267,753,753,PASS
Exact Case C [#-------------------------------] 14/302 (  4.6%)47,380,47,2707,925,925,PASS
Exact Case C [#-------------------------------] 15/302 (  5.0%)53,443,53,3251,1097,1097,PASS
Exact Case C [#-------------------------------] 16/302 (  5.3%)59,509,59,3769,1301,1301,PASS
Exact Case C [#-------------------------------] 17/302 (  5.6%)61,577,61,4349,1494,1494,PASS
Exact Case C [#-------------------------------] 18/302 (  6.0%)67,653,67,5009,1720,1719,PASS
Exact Case C [##------------------------------] 19/302 (  6.3%)71,733,71,5711,1955,1954,PASS
Exact Case C [##------------------------------] 20/302 (  6.6%)73,818,73,6451,2229,2229,PASS
Exact Case C [##------------------------------] 21/302 (  7.0%)79,912,79,7321,2519,2518,PASS
Exact Case C [##------------------------------] 22/302 (  7.3%)83,1010,83,8231,2823,2823,PASS
Exact Case C [##------------------------------] 23/302 (  7.6%)89,1114,89,9173,3184,3183,PASS
Exact Case C [##------------------------------] 24/302 (  7.9%)97,1222,97,10151,3555,3554,PASS
Exact Case C [##------------------------------] 25/302 (  8.3%)101,1331,101,11197,3918,3918,PASS
Exact Case C [##------------------------------] 26/302 (  8.6%)103,1448,103,12343,4325,4325,PASS
Exact Case C [##------------------------------] 27/302 (  8.9%)107,1572,107,13487,4732,4731,PASS
Exact Case C [##------------------------------] 28/302 (  9.3%)109,1704,109,14779,5182,5182,PASS
Exact Case C [###-----------------------------] 29/302 (  9.6%)113,1845,113,16097,5682,5682,PASS
Exact Case C [###-----------------------------] 30/302 (  9.9%)127,1994,127,17599,6234,6234,PASS
Exact Case C [###-----------------------------] 31/302 ( 10.3%)131,2138,131,19087,6757,6757,PASS
Exact Case C [###-----------------------------] 32/302 ( 10.6%)137,2289,137,20563,7323,7322,PASS
Exact Case C [###-----------------------------] 33/302 ( 10.9%)139,2445,139,22109,7878,7877,PASS
Exact Case C [###-----------------------------] 34/302 ( 11.3%)149,2609,149,23761,8477,8477,PASS
Exact Case C [###-----------------------------] 35/302 ( 11.6%)151,2774,151,25469,9051,9050,PASS
Exact Case C [###-----------------------------] 36/302 ( 11.9%)157,2948,157,27259,9689,9689,PASS
Exact Case C [###-----------------------------] 37/302 ( 12.3%)163,3127,163,29123,10356,10356,PASS
Exact Case C [####----------------------------] 38/302 ( 12.6%)167,3311,167,31081,11030,11030,PASS
Exact Case C [####----------------------------] 39/302 ( 12.9%)173,3502,173,33029,11749,11749,PASS
Exact Case C [####----------------------------] 40/302 ( 13.2%)179,3699,179,35081,12478,12478,PASS
Exact Case C [####----------------------------] 41/302 ( 13.6%)181,3900,181,37199,13281,13280,PASS
Exact Case C [####----------------------------] 42/302 ( 13.9%)191,4112,191,39461,14104,14104,PASS
Exact Case C [####----------------------------] 43/302 ( 14.2%)193,4324,193,41761,14902,14902,PASS
Exact Case C [####----------------------------] 44/302 ( 14.6%)197,4546,197,44101,15768,15768,PASS
Exact Case C [####----------------------------] 45/302 ( 14.9%)199,4775,199,46643,16670,16670,PASS
Exact Case C [####----------------------------] 46/302 ( 15.2%)211,5016,211,49253,17617,17617,PASS
Exact Case C [####----------------------------] 47/302 ( 15.6%)223,5255,223,51827,18585,18585,PASS
Exact Case C [#####---------------------------] 48/302 ( 15.9%)227,5493,227,54449,19576,19575,PASS
Exact Case C [#####---------------------------] 49/302 ( 16.2%)229,5738,229,57073,20564,20564,PASS
Exact Case C [#####---------------------------] 50/302 ( 16.6%)233,5993,233,59779,21597,21596,PASS
Exact Case C [#####---------------------------] 51/302 ( 16.9%)239,6255,239,62861,22673,22672,PASS
Exact Case C [#####---------------------------] 52/302 ( 17.2%)241,6524,241,65837,23799,23799,PASS
Exact Case C [#####---------------------------] 53/302 ( 17.5%)251,6804,251,69019,24937,24936,PASS
Exact Case C [#####---------------------------] 54/302 ( 17.9%)257,7084,257,72101,26072,26071,PASS
Exact Case C [#####---------------------------] 55/302 ( 18.2%)263,7371,263,75367,27207,27206,PASS
Exact Case C [#####---------------------------] 56/302 ( 18.5%)269,7663,269,78691,28402,28402,PASS
