y,M_cert,first_prime,last_prime,num_bits,den_bits,status
2003,10062,2003,108991,131083,131083,PASS
2027,10125,2027,109751,131992,131991,PASS
2053,10193,2053,110609,133062,133062,PASS
2081,10266,2081,111521,134099,134099,PASS
2089,10286,2089,111791,134369,134369,PASS
2113,10349,2113,112571,135285,135284,PASS
2137,10410,2137,113213,136211,136210,PASS
2153,10451,2153,113819,136788,136787,PASS
2203,10576,2203,115337,138636,138636,PASS
2221,10622,2221,115873,139355,139355,PASS
2243,10676,2243,116539,140185,140185,PASS
2269,10741,2269,117371,141199,141199,PASS
2287,10784,2287,117881,141873,141872,PASS
2309,10838,2309,118589,142714,142713,PASS
2339,10911,2339,119549,143804,143804,PASS
2351,10940,2351,119849,144272,144272,PASS
2377,11001,2377,120641,145146,145145,PASS
2389,11031,2389,120941,145601,145601,PASS
2411,11083,2411,121553,146351,146350,PASS
2437,11144,2437,122279,147332,147331,PASS
2459,11196,2459,122939,148158,148157,PASS
2477,11238,2477,123491,148817,148816,PASS
2531,11363,2531,124981,150629,150629,PASS
2549,11404,2549,125497,151194,151193,PASS
2579,11472,2579,126311,152235,152235,PASS
2609,11540,2609,127241,153310,153310,PASS
2633,11594,2633,127843,154155,154155,PASS
2659,11652,2659,128549,155077,155077,PASS
2677,11692,2677,129023,155658,155657,PASS
2689,11719,2689,129401,156081,156081,PASS
2707,11759,2707,129901,156675,156674,PASS
2719,11785,2719,130253,157061,157060,PASS
2741,11833,2741,130811,157721,157721,PASS
2767,11890,2767,131591,158621,158621,PASS
2791,11942,2791,132257,159425,159424,PASS
2803,11968,2803,132607,159829,159829,PASS
2837,12041,2837,133417,160908,160908,PASS
2857,12084,2857,134039,161571,161571,PASS
2887,12148,2887,134857,162574,162573,PASS
2909,12194,2909,135427,163219,163219,PASS
2939,12258,2939,136193,164258,164258,PASS
2963,12307,2963,136709,164971,164971,PASS
2999,12383,2999,137633,166166,166166,PASS
3019,12424,3019,138179,166796,166796,PASS
3041,12468,3041,138679,167480,167480,PASS
3067,12522,3067,139423,168333,168332,PASS
3089,12567,3089,139987,169064,169063,PASS
3121,12632,3121,140759,170030,170030,PASS
3167,12724,3167,141833,171375,171375,PASS
3187,12764,3187,142369,172013,172013,PASS
3209,12808,3209,142963,172714,172713,PASS
3229,12847,3229,143513,173313,173313,PASS
3257,12903,3257,144259,174119,174119,PASS
3299,12985,3299,145307,175428,175427,PASS
3313,13012,3313,145643,175916,175915,PASS
3329,13043,3329,146023,176425,176424,PASS
3347,13078,3347,146477,176962,176961,PASS
3371,13125,3371,147097,177676,177676,PASS
3391,13163,3391,147557,178213,178212,PASS
3433,13243,3433,148627,179398,179397,PASS
3461,13296,3461,149197,180272,180271,PASS
